Index,Component,Thickness,Width,Length,CorrectRole,Source
1,A Plate(17-78X35-12X5-78)-1,11.910,17.875,35.500,a_plate,steel_sheet
2,B Plate(17-78X35-12X3-38)-1,3.387,17.883,35.500,b_plate,steel_sheet
3,Support Plate(17-78X35-12)-1,2.375,17.875,35.500,support_plate,steel_sheet
4,Top Clamping Plate(17-78X35-12)-1,1.875,17.875,35.500,,
5,Bottom Clamp Plate(45-1835)-1,1.375,17.875,35.500,bottom_clamp_plate,steel_sheet
6,Cavity Core Assembly(Left)-1/Cavity B-1,8.500,8.500,12.007,,
7,Cavity Core Assembly(Default)-1/Cavity A-1,8.500,8.500,12.007,,
8,Rail A(45-1835)-1,1.875,10.000,35.500,rail,steel_sheet
9,Rail B(45-1835)-1,1.875,10.000,35.500,rail,steel_sheet
10,Ejector Plate(EP-1835)-1,1.313,14.000,35.500,ejector_plate,steel_sheet
11,Cavity Core Assembly(Default)-1/Core A-1,4.534,9.000,9.500,,
12,Cavity Core Assembly(Left)-1/Core B-1,4.534,9.000,9.500,,
13,Cavity Core Assembly(Default)-1/Core Insert A-1,4.250,6.000,13.815,,
14,Cavity Core Assembly(Left)-1/Core Insert A-1,4.250,6.000,13.815,,
15,Ejector Retainer(ER-1835)-1,0.625,14.000,35.500,,
16,Cavity Core Assembly(Default)-1/f-15-model3-1,4.422,4.831,10.870,,
17,Cavity Core Assembly(Left)-1/f-15-model3-1,4.422,4.831,10.870,,
18,NO1352DHK-1/SRH25 NOZZLE(MRH25OG)-1,1.969,4.961,13.964,,
19,Cavity Core Assembly(Default)-1/Wedge-1,3.875,4.500,6.250,,
20,Cavity Core Assembly(Left)-1/Wedge-1,3.875,4.500,6.250,,
21,Support Pillar-3,3.000,3.000,10.000,support_pillar,steel_sheet
22,Support Pillar-4,3.000,3.000,10.000,,
23,Support Pillar-1,3.000,3.000,10.000,,
24,Support Pillar-2,3.000,3.000,10.000,,
25,Support Pillar-6,3.000,3.000,10.000,,
26,Support Pillar-11,3.000,3.000,10.000,,
27,Support Pillar-7,3.000,3.000,10.000,,
28,Support Pillar-12,3.000,3.000,10.000,,
29,Support Pillar-10,3.000,3.000,10.000,,
30,Support Pillar-9,3.000,3.000,10.000,,
31,Support Pillar-5,3.000,3.000,10.000,,
32,Support Pillar-8,3.000,3.000,10.000,,
33,Cavity Core Assembly(Left)-1/Slide-1,3.750,4.001,4.500,,
34,Cavity Core Assembly(Default)-1/Slide-1,3.750,4.001,4.500,,
35,Leader Pin(5424-GL)-1,1.740,1.740,14.750,leader_pin,steel_sheet
36,Leader Pin(5424-GL)-3,1.740,1.740,14.750,,
37,Leader Pin(5424-GL)-2,1.740,1.740,14.750,,
38,Leader Pin(5424-GL)-4,1.740,1.740,14.750,,
39,Leader Pin(5420-GL)-3,1.740,1.740,12.750,,
40,Leader Pin(5420-GL)-2,1.740,1.740,12.750,,
41,Leader Pin(5420-GL)-4,1.740,1.740,12.750,,
42,Leader Pin(5420-GL)-1,1.740,1.740,12.750,,
43,Cavity Core Assembly(Left)-1/Slide Face-1,1.600,4.000,4.000,,
44,Cavity Core Assembly(Default)-1/Slide Face-1,1.600,4.000,4.000,,
45,Cavity Core Assembly(Left)-1/Gib A-1,1.250,3.000,6.500,,
46,Cavity Core Assembly(Default)-1/Gib B-1,1.250,3.000,6.500,,
47,Cavity Core Assembly(Default)-1/Gib A-1,1.250,3.000,6.500,,
48,Cavity Core Assembly(Left)-1/Gib B-1,1.250,3.000,6.500,,
49,Cavity Core Assembly(Left)-1/Core Pin B-1,2.100,2.250,4.502,,
50,Cavity Core Assembly(Default)-1/Core Pin B-1,2.100,2.250,4.502,,
51,Runner Bar A-1,1.142,3.500,5.000,,
52,Return Pin(EX-41 .750)-1,1.000,1.000,14.438,,
53,Return Pin(EX-41 .750)-3,1.000,1.000,14.438,,
54,Return Pin(EX-41 .750)-2,1.000,1.000,14.438,,
55,Return Pin(EX-41 .750)-4,1.000,1.000,14.438,,
56,Runner Bar B-1,1.142,2.500,5.000,,
57,Shoulder Bushing(5774)-2,2.177,2.177,2.914,,
58,Shoulder Bushing(5774)-4,2.177,2.177,2.914,,
59,Shoulder Bushing(5774)-1,2.177,2.177,2.914,,
