Index,Component,Thickness,Width,Length,CorrectRole,Source
1,2223488_B-PLATE-1,4.875,25.000,35.000,b_plate,steel_sheet
2,2223488_CLAMP-PLATE-1,1.375,25.000,35.000,bottom_clamp_plate,steel_sheet
3,2223488_RAIL-TOP-1,4.375,4.500,35.000,rail,steel_sheet
4,2223488_RAIL-BOTTOM-1,4.000,4.500,35.000,rail,steel_sheet
5,2223488_EJ-BACKUP-PLATE-1,1.125,16.000,30.000,bottom_ejector_plate,steel_sheet
6,2223488_EJ-RET-PLATE_2-1,0.625,16.000,30.000,ejector_plate,steel_sheet
7,PILLAR_D3-X-4-5_T_PCS-4,3.000,3.000,4.500,,
8,PILLAR_D3-X-4-5_T_PCS-1,3.000,3.000,4.500,,
9,PILLAR_D3-X-4-5_T_PCS-3,3.000,3.000,4.500,,
10,PILLAR_D3-X-4-5_T_PCS-2,3.000,3.000,4.500,,
11,PILLAR_D3-X-4-5_T_PCS-8,3.000,3.000,4.500,,
12,PILLAR_D3-X-4-5_T_PCS-5,3.000,3.000,4.500,,
13,PILLAR_D3-X-4-5_T_PCS-7,3.000,3.000,4.500,,
14,PILLAR_D3-X-4-5_T_PCS-6,3.000,3.000,4.500,,
15,LBB_2ID-X-4_7-8_DME-4,2.677,2.677,4.875,,
16,LBB_2ID-X-4_7-8_DME-2,2.677,2.677,4.875,,
17,LBB_2ID-X-4_7-8_DME-3,2.677,2.677,4.875,,
18,LBB_2ID-X-4_7-8_DME-1,2.677,2.677,4.875,,
19,LDR-PIN_2OD-X-6-3-4_PCS-4,2.240,2.240,6.750,leader_pin,steel_sheet
20,LDR-PIN_2OD-X-6-3-4_PCS-2,2.240,2.240,6.750,leader_pin,steel_sheet
21,LDR-PIN_2OD-X-6-3-4_PCS-3,2.240,2.240,6.750,leader_pin,steel_sheet
22,LDR-PIN_2OD-X-6-3-4_PCS-1,2.240,2.240,6.750,leader_pin,steel_sheet
23,PILLAR_D2-X-4-5_T_PCS-11,2.000,2.000,4.500,,
24,PILLAR_D2-X-4-5_T_PCS-8,2.000,2.000,4.500,,
25,PILLAR_D2-X-4-5_T_PCS-14,2.000,2.000,4.500,,
26,PILLAR_D2-X-4-5_T_PCS-13,2.000,2.000,4.500,,
27,PILLAR_D2-X-4-5_T_PCS-10,2.000,2.000,4.500,,
28,PILLAR_D2-X-4-5_T_PCS-7,2.000,2.000,4.500,,
29,PILLAR_D2-X-4-5_T_PCS-1,2.000,2.000,4.500,,
30,PILLAR_D2-X-4-5_T_PCS-2,2.000,2.000,4.500,,
31,PILLAR_D2-X-4-5_T_PCS-3,2.000,2.000,4.500,,
32,PILLAR_D2-X-4-5_T_PCS-9,2.000,2.000,4.500,,
33,PILLAR_D2-X-4-5_T_PCS-4,2.000,2.000,4.500,,
34,PILLAR_D2-X-4-5_T_PCS-12,2.000,2.000,4.500,,
35,PILLAR_D2-X-4-5_T_PCS-5,2.000,2.000,4.500,,
36,PILLAR_D2-X-4-5_T_PCS-6,2.000,2.000,4.500,,
37,EJ_LDR_PIN_D-1-X-6-25_PCS-3,1.240,1.240,6.250,leader_pin,steel_sheet
38,EJ_LDR_PIN_D-1-X-6-25_PCS-4,1.240,1.240,6.250,leader_pin,steel_sheet
39,EJ_LDR_PIN_D-1-X-6-25_PCS-1,1.240,1.240,6.250,leader_pin,steel_sheet
40,EJ_LDR_PIN_D-1-X-6-25_PCS-2,1.240,1.240,6.250,leader_pin,steel_sheet
41,2223488_RETURN-PIN-2,1.000,1.000,8.065,,
42,2223488_RETURN-PIN-1,1.000,1.000,8.065,,
43,2223488_RETURN-PIN-3,1.000,1.000,8.065,,
44,2223488_RETURN-PIN-4,1.000,1.000,8.065,,
45,UNC-SHCS-5-8-X-7000-2,0.938,0.938,7.625,,
46,UNC-SHCS-5-8-X-7000-1,0.938,0.938,7.625,,
47,UNC-SHCS-5-8-X-7000-3,0.938,0.938,7.625,,
48,UNC-SHCS-5-8-X-7000-4,0.938,0.938,7.625,,
49,UNC-SHCS-5-8-X-6500-3,0.938,0.938,7.125,,
50,UNC-SHCS-5-8-X-6500-4,0.938,0.938,7.125,,
51,UNC-SHCS-5-8-X-6500-1,0.938,0.938,7.125,,
52,UNC-SHCS-5-8-X-6500-2,0.938,0.938,7.125,,
53,GEB_1ID-X-1-3-8OD_DME-4,1.552,1.552,1.750,,
54,GEB_1ID-X-1-3-8OD_DME-1,1.552,1.552,1.750,,
55,GEB_1ID-X-1-3-8OD_DME-2,1.552,1.552,1.750,,
56,GEB_1ID-X-1-3-8OD_DME-3,1.552,1.552,1.750,,
57,2223488_TIE-STRAP-1,0.500,1.500,4.500,,
58,PH62L15-3,0.875,1.010,2.422,,
59,PH62L15-5,0.875,1.010,2.422,,
60,PH62L15-8,0.875,1.010,2.422,,
61,PH62L15-1,0.875,1.010,2.422,,
62,PH62L15-7,0.875,1.010,2.422,,
63,PH62L15-6,0.875,1.010,2.422,,
64,PH62L15-4,0.875,1.010,2.422,,
65,PH62L15-2,0.875,1.010,2.422,,
66,GL150X250_ASM-3/GL150X250_MALE-1,1.000,1.350,1.500,,
67,GL150X250_ASM-1/GL150X250_MALE-1,1.000,1.350,1.500,,
68,GL150X250_ASM-4/GL150X250_MALE-1,1.000,1.350,1.500,,
69,GL150X250_ASM-2/GL150X250_MALE-1,1.000,1.350,1.500,,
70,UNC-SHCS-5-8-X-1500-3,0.938,0.938,2.125,,
71,UNC-SHCS-5-8-X-1500-1,0.938,0.938,2.125,,
72,UNC-SHCS-5-8-X-1500-4,0.938,0.938,2.125,,
73,UNC-SHCS-5-8-X-1500-2,0.938,0.938,2.125,,
74,UNC-SHCS-1-2-X-2000-3,0.750,0.750,2.500,,
75,UNC-SHCS-1-2-X-2000-4,0.750,0.750,2.500,,
76,UNC-SHCS-1-2-X-2000-1,0.750,0.750,2.500,,
77,UNC-SHCS-1-2-X-2000-2,0.750,0.750,2.500,,
78,ELGIN_TOSHIBA-350T-KEY-1,0.750,0.781,2.000,,
79,GL150X250_ASM-2/GL150X250_LH-1,0.750,0.750,1.500,,
80,GL150X250_ASM-1/GL150X250_LH-1,0.750,0.750,1.500,,
81,GL150X250_ASM-3/GL150X250_LH-1,0.750,0.750,1.500,,
82,GL150X250_ASM-4/GL150X250_LH-1,0.750,0.750,1.500,,
83,GL150X250_ASM-1/GL150X250_RH-1,0.750,0.750,1.500,,
84,GL150X250_ASM-3/GL150X250_RH-1,0.750,0.750,1.500,,
85,GL150X250_ASM-2/GL150X250_RH-1,0.750,0.750,1.500,,
86,GL150X250_ASM-4/GL150X250_RH-1,0.750,0.750,1.500,,
87,UNF-SHCS-3-8-X-1500-11,0.562,0.562,1.875,,
88,UNF-SHCS-3-8-X-1500-6,0.562,0.562,1.875,,
89,UNF-SHCS-3-8-X-1500-13,0.562,0.562,1.875,,
90,UNF-SHCS-3-8-X-1500-3,0.562,0.562,1.875,,
91,UNF-SHCS-3-8-X-1500-5,0.562,0.562,1.875,,
92,UNF-SHCS-3-8-X-1500-7,0.562,0.562,1.875,,
93,UNF-SHCS-3-8-X-1500-8,0.562,0.562,1.875,,
94,UNF-SHCS-3-8-X-1500-9,0.562,0.562,1.875,,
95,UNF-SHCS-3-8-X-1500-2,0.562,0.562,1.875,,
96,UNF-SHCS-3-8-X-1500-10,0.562,0.562,1.875,,
97,UNF-SHCS-3-8-X-1500-12,0.562,0.562,1.875,,
98,UNF-SHCS-3-8-X-1500-14,0.562,0.562,1.875,,
99,UNF-SHCS-3-8-X-1500-1,0.562,0.562,1.875,,
100,UNF-SHCS-3-8-X-1500-4,0.562,0.562,1.875,,
101,UNF-SHCS-3-8-X-1250-1,0.562,0.562,1.625,,
102,UNF-SHCS-3-8-X-1250-16,0.562,0.562,1.625,,
103,UNF-SHCS-3-8-X-1250-20,0.562,0.562,1.625,,
104,UNF-SHCS-3-8-X-1250-9,0.562,0.562,1.625,,
105,UNF-SHCS-3-8-X-1250-10,0.562,0.562,1.625,,
106,UNF-SHCS-3-8-X-1250-15,0.562,0.562,1.625,,
107,UNF-SHCS-3-8-X-1250-4,0.562,0.562,1.625,,
108,UNF-SHCS-3-8-X-1250-3,0.562,0.562,1.625,,
109,UNF-SHCS-3-8-X-1250-7,0.562,0.562,1.625,,
110,UNF-SHCS-3-8-X-1250-13,0.562,0.562,1.625,,
111,UNF-SHCS-3-8-X-1250-6,0.562,0.562,1.625,,
112,UNF-SHCS-3-8-X-1250-8,0.562,0.562,1.625,,
113,UNF-SHCS-3-8-X-1250-2,0.562,0.562,1.625,,
114,UNF-SHCS-3-8-X-1250-11,0.562,0.562,1.625,,
115,UNF-SHCS-3-8-X-1250-14,0.562,0.562,1.625,,
116,UNF-SHCS-3-8-X-1250-12,0.562,0.562,1.625,,
117,UNF-SHCS-3-8-X-1250-18,0.562,0.562,1.625,,
118,UNF-SHCS-3-8-X-1250-5,0.562,0.562,1.625,,
119,UNF-SHCS-3-8-X-1250-19,0.562,0.562,1.625,,
120,UNF-SHCS-3-8-X-1250-17,0.562,0.562,1.625,,
121,GL150X250_ASM-4/UNF-SHCS-1-4-X-1500-1,0.375,0.375,1.750,,
122,GL150X250_ASM-2/UNF-SHCS-1-4-X-1500-2,0.375,0.375,1.750,,
123,GL150X250_ASM-1/UNF-SHCS-1-4-X-1500-1,0.375,0.375,1.750,,
124,GL150X250_ASM-4/UNF-SHCS-1-4-X-1500-2,0.375,0.375,1.750,,
125,GL150X250_ASM-3/UNF-SHCS-1-4-X-1500-1,0.375,0.375,1.750,,
126,GL150X250_ASM-1/UNF-SHCS-1-4-X-1500-2,0.375,0.375,1.750,,
127,GL150X250_ASM-3/UNF-SHCS-1-4-X-1500-2,0.375,0.375,1.750,,
128,GL150X250_ASM-2/UNF-SHCS-1-4-X-1500-1,0.375,0.375,1.750,,
129,TLP75-2,0.188,1.000,1.000,,
130,TLP75-5,0.188,1.000,1.000,,
131,TLP75-7,0.188,1.000,1.000,,
132,TLP75-8,0.188,1.000,1.000,,
133,TLP75-6,0.188,1.000,1.000,,
134,TLP75-9,0.188,1.000,1.000,,
135,TLP75-11,0.188,1.000,1.000,,
136,TLP75-12,0.188,1.000,1.000,,
137,TLP75-13,0.188,1.000,1.000,,
138,TLP75-15,0.188,1.000,1.000,,
139,TLP75-16,0.188,1.000,1.000,,
140,TLP75-18,0.188,1.000,1.000,,
141,TLP75-19,0.188,1.000,1.000,,
142,TLP75-20,0.188,1.000,1.000,,
143,TLP75-14,0.188,1.000,1.000,,
144,TLP75-21,0.188,1.000,1.000,,
145,TLP75-17,0.188,1.000,1.000,,
146,TLP75-4,0.188,1.000,1.000,,
147,TLP75-10,0.188,1.000,1.000,,
148,TLP75-1,0.188,1.000,1.000,,
149,TLP75-3,0.188,1.000,1.000,,
150,GL150X250_ASM-3/UNF-SHCS-1-4-X-0875-4,0.375,0.375,1.125,,
151,GL150X250_ASM-1/UNF-SHCS-1-4-X-0875-3,0.375,0.375,1.125,,
152,GL150X250_ASM-1/UNF-SHCS-1-4-X-0875-4,0.375,0.375,1.125,,
153,GL150X250_ASM-3/UNF-SHCS-1-4-X-0875-3,0.375,0.375,1.125,,
154,GL150X250_ASM-4/UNF-SHCS-1-4-X-0875-3,0.375,0.375,1.125,,
155,GL150X250_ASM-3/UNF-SHCS-1-4-X-0875-2,0.375,0.375,1.125,,
156,GL150X250_ASM-3/UNF-SHCS-1-4-X-0875-1,0.375,0.375,1.125,,
157,GL150X250_ASM-2/UNF-SHCS-1-4-X-0875-4,0.375,0.375,1.125,,
158,GL150X250_ASM-1/UNF-SHCS-1-4-X-0875-2,0.375,0.375,1.125,,
159,GL150X250_ASM-4/UNF-SHCS-1-4-X-0875-2,0.375,0.375,1.125,,
