Index,Component,Thickness,Width,Length,CorrectRole,Source
1,BOTTOM CLAMP PLT.step-3-1,3.375,11.500,16.000,,
2,CAVITY PLT.step-3-1,2.375,11.500,16.000,,
3,TCP.step-3-1,1.875,11.500,16.000,,
4,DIE BACK UP PLTPLT.step-3-1,1.375,11.500,16.000,,
5,DIE PLATE.step-3-1,1.375,11.500,16.000,,
6,CORE PLT.step-3-1,0.875,11.500,16.000,,
7,STRIPPER PLT.step-3-1,0.875,11.500,16.000,,
8,Lr523.step-3-1,1.781,3.990,3.990,,
9,LP87L5.75.step-3-1,1.115,1.115,9.750,,
10,LP87L5.75.step-3-3,1.115,1.115,9.750,,
11,LP87L5.75.step-3-2,1.115,1.115,9.750,,
12,LP87L5.75.step-3-4,1.115,1.115,9.750,,
13,LP75L7.25.step-3-4,0.990,0.990,7.250,,
14,LP75L7.25.step-3-3,0.990,0.990,7.250,,
15,LP75L7.25.step-3-2,0.990,0.990,7.250,,
16,LP75L7.25.step-3-1,0.990,0.990,7.250,,
17,GEB75.step-3-3,1.302,1.302,1.500,,
18,GEB75.step-3-4,1.302,1.302,1.500,,
19,GEB75.step-3-1,1.302,1.302,1.500,,
20,GEB75.step-3-2,1.302,1.302,1.500,,
21,SHCS-500-13_x_3.000_SHCS 0.5-13x3.000L.step-3-2,0.750,0.750,3.500,,
22,SHCS-500-13_x_3.000_SHCS 0.5-13x3.000L.step-3-6,0.750,0.750,3.500,,
23,SHCS-500-13_x_3.000_SHCS 0.5-13x3.000L.step-3-3,0.750,0.750,3.500,,
24,SHCS-500-13_x_3.000_SHCS 0.5-13x3.000L.step-3-5,0.750,0.750,3.500,,
25,SHCS-500-13_x_3.000_SHCS 0.5-13x3.000L.step-3-1,0.750,0.750,3.500,,
26,SHCS-500-13_x_3.000_SHCS 0.5-13x3.000L.step-3-4,0.750,0.750,3.500,,
27,SHSS_500-16_x_2.500_SHSS 0.500-16x2.500L.step-3-3,0.750,0.750,3.437,,
28,SHSS_500-16_x_2.500_SHSS 0.500-16x2.500L.step-3-2,0.750,0.750,3.437,,
29,SHSS_500-16_x_2.500_SHSS 0.500-16x2.500L.step-3-1,0.750,0.750,3.437,,
30,SHSS_500-16_x_2.500_SHSS 0.500-16x2.500L.step-3-4,0.750,0.750,3.437,,
31,SHSS_500-16_x_2.250_SHSS 0.500-16x2.250L.step-3-4,0.750,0.750,3.187,,
32,SHSS_500-16_x_2.250_SHSS 0.500-16x2.250L.step-3-3,0.750,0.750,3.187,,
33,SHSS_500-16_x_2.250_SHSS 0.500-16x2.250L.step-3-2,0.750,0.750,3.187,,
34,SHSS_500-16_x_2.250_SHSS 0.500-16x2.250L.step-3-1,0.750,0.750,3.187,,
35,STL87L87.step-3-8,0.875,1.427,1.427,,
36,STL87L87.step-3-1,0.875,1.427,1.427,,
37,STL87L87.step-3-2,0.875,1.427,1.427,,
38,STL87L87.step-3-4,0.875,1.427,1.427,,
39,STL87L87.step-3-3,0.875,1.427,1.427,,
40,STL87L87.step-3-5,0.875,1.427,1.427,,
41,STL87L87.step-3-7,0.875,1.427,1.427,,
42,STL87L87.step-3-6,0.875,1.427,1.427,,
43,PULL STRAP.step-3-4,0.350,0.875,4.500,,
44,PULL STRAP.step-3-2,0.350,0.875,4.500,,
45,PULL STRAP.step-3-1,0.350,0.875,4.500,,
46,PULL STRAP.step-3-3,0.350,0.875,4.500,,
47,TUB_DOWEL_.750 X 2.37.step-3-2,0.750,0.750,2.375,,
48,TUB_DOWEL_.750 X 2.37.step-3-1,0.750,0.750,2.375,,
49,SHSS_500-16_x_0.500_SHSS 0.500-16x0.500L.step-3-4,0.750,0.750,1.437,,
50,SHSS_500-16_x_0.500_SHSS 0.500-16x0.500L.step-3-6,0.750,0.750,1.437,,
51,SHSS_500-16_x_0.500_SHSS 0.500-16x0.500L.step-3-8,0.750,0.750,1.437,,
52,SHSS_500-16_x_0.500_SHSS 0.500-16x0.500L.step-3-2,0.750,0.750,1.437,,
53,SHSS_500-16_x_0.500_SHSS 0.500-16x0.500L.step-3-5,0.750,0.750,1.437,,
54,SHSS_500-16_x_0.500_SHSS 0.500-16x0.500L.step-3-7,0.750,0.750,1.437,,
55,SHSS_500-16_x_0.500_SHSS 0.500-16x0.500L.step-3-3,0.750,0.750,1.437,,
56,SHSS_500-16_x_0.500_SHSS 0.500-16x0.500L.step-3-1,0.750,0.750,1.437,,
57,Z172_16_2.step-13-1/Z172_16-03_E.step-3-1,0.512,0.512,1.535,,
58,Z172_16_2.step-14-1/Z172_16-03_E.step-3-1,0.512,0.512,1.535,,
59,Z172_16_2.step-15-1/Z172_16-03_E.step-3-1,0.512,0.512,1.535,,
60,Z172_16_2.step-12-1/Z172_16-03_E.step-3-1,0.512,0.512,1.535,,
61,Z172_16_2.step-13-1/Z172_16-02_E.step-3-1,0.630,0.630,0.984,,
62,Z172_16_2.step-15-1/Z172_16-02_E.step-3-1,0.630,0.630,0.984,,
63,Z172_16_2.step-12-1/Z172_16-02_E.step-3-1,0.630,0.630,0.984,,
64,Z172_16_2.step-14-1/Z172_16-02_E.step-3-1,0.630,0.630,0.984,,
65,TI-2500_MB.step-3-5,0.312,0.312,1.840,,
66,TI-2500_MB.step-3-4,0.312,0.312,1.840,,
67,TI-2500_MB.step-3-8,0.312,0.312,1.840,,
68,TI-2500_MB.step-3-2,0.312,0.312,1.840,,
69,TI-2500_MB.step-3-7,0.312,0.312,1.840,,
70,TI-2500_MB.step-3-6,0.312,0.312,1.840,,
71,TI-2500_MB.step-3-1,0.312,0.312,1.840,,
72,TI-2500_MB.step-3-3,0.312,0.312,1.840,,
